,0
0,aïe
1,mal
2,dentiste
3,chirurgie
4,cardiaque
5,opération
6,hôpital
7,douleur_morale
8,dépression
9,mal_dos
10,mal_gorge
11,otite
12,infection
13,infection_urinaire
14,cystite
15,lombalgie
16,dorsalgie
17,mal_compris
18,mal_entendu
19,mal_vu
20,mal_communiquer
21,poster
22,mal_voyager
23,pall_mall
24,marque_cigarette
25,airmail
26,e-mail
27,mal_pieds
28,ampoules
29,ongles_incarnés
30,ligament_croisé
31,dorsalgie
32,cruralgie
33,mal_coeur
34,bateau
35,mal_transports
36,mal_montagne
37,mer
38,mal_mer
39,vomir
40,maudire
41,religion
42,science
43,histoire
44,puériculture
45,mal_cheveux
46,alsacien
47,prendre_cuite
