,0
0,courage
1,courage_fille
2,vas_t'en_sortir
3,fais_ton_mieux
4,est_chemin_compte
5,ami
6,amical
7,amour
8,mélange
9,pas_important
10,passion
11,passionné
12,assumé
13,engagé
14,réflexion
15,pousser
16,volonté
17,faire_changer
18,changer_moi
19,changer_autres
20,difficile
21,changer_moi
22,changer_monde
23,petit_monde
24,courage_être_même
25,courage_faire_avec
26,faire_autres
27,ensemble
28,dépassement
29,volonté
30,être_meilleur
31,arranger
32,pomponner
33,cocooning
34,prendre_soin_soi
35,faire_bien
36,laver_cheveux
37,maquiller
38,déshabiller
39,mettre_sous-vêtements
40,rhabiller
41,regard_autres
42,avec
43,faire_plaisir
