,0
0,fin
1,début
2,début
3,dépression
4,début
5,est
6,naissance
7,début
8,cours
9,rentrée
10,début
11,album
12,début
13,plein
14,choses
15,début
16,naissance
17,évolution
18,début
19,milieu
20,fin
21,nourrisson
22,nouveaux-nés
23,est
24,tout
25,petit
26,est
27,début
28,apprennent
29,parler
30,marcher
31,danser
32,chanter
33,crier
34,quand
35,es
36,content
37,est
38,début
39,rigolade
40,dépression
41,quand
42,es
43,dépression
44,commence
45,être
46,bordel
47,début
48,repas
49,prendre
50,café
51,début
52,est
53,génial
54,parce
55,que
56,ne
57,sais
58,jamais
59,comment
60,va
61,finir
62,commencement
63,évolution
64,train
65,arriver
66,début
67,début
68,début
69,fin
70,est
71,comme
72,voyage
73,voyage
74,as
75,début
76,fin
77,as
78,entre
79,où
80,est
81,voyage
