,0
0,courage
1,force
2,bonheur
3,film
4,trois-cent
5,spartiate
6,dessinateur
7,alan
8,moore
9,effets
10,spéciaux
11,étalonnage
12,ralenti
13,violence
14,gore
15,combat
16,tactique
17,militaire
18,épée
19,sabre
20,lance
21,plage
22,dune
23,bataille
24,tortue
25,tactique
26,métro
27,station
28,escalator
29,toboggan
30,glissade
31,tourniquet
32,ticket
33,amende
34,fraude
35,chute
36,escalier
37,guichet
38,fermé
39,ouvert
40,transaction
41,transmission
42,écoutille
43,annonce
44,mouvoir
45,speaker
46,speakerine
47,microphone
48,tendance
49,affiche
50,publicité
51,pollution
52,sonore
53,visuel
54,arc-en-ciel
55,place
