,0
0,animaux
1,chat
2,chien
3,bœuf
4,poulet
5,cochon
6,porc
7,veau
8,vache
9,dindon
10,coccinelle
11,grenouille
12,poisson
13,carpe
14,truite
15,éléphant
16,girafe
17,rhinocéros
18,hippopotame
19,crocodile
20,zèbre
21,zébu
22,antilope
23,gazelle
24,baleine
25,otarie
26,ours_polaire
27,cachalot
28,dauphin
29,requin
30,moustique
31,libellule
32,fourmi
33,rat
34,souris
35,martre
36,loutre
37,ragondin
38,castor
39,mouton
40,chamois
41,biche
42,cerf
43,mouflon
44,marmotte
45,lama
46,koala
47,kangourou
48,walibi
49,panda
50,élan
51,pieuvre
