,0
0,royaume
1,royaume
2,royaume_cieux
3,royaume_cieux
4,royaume
5,roi
6,reine
7,château
8,belle_histoire_tout_royaume
9,royaume_combattant
10,royaume_cherche_agrandir
11,cherche_obtenir_autres_royaumes
12,royaumes_combattants_bien_connus_chine
13,royaume
14,royaume
15,trône
16,trôner
17,régner
18,émanciper
19,royaume
20,roi
21,reine
22,princessse
23,prince
24,habitant
25,habitants_royaume
26,bal
27,bal
28,belle_fête_château
29,royaume_est_plus_que_château
30,toutes_terres_apparentent_royaume
31,richesse
32,opulence
33,beauté_roi
34,reine
35,costume
36,damoiseau
37,damoiselle
38,royaume_étend
39,serf
40,serf
41,asservi_roi
42,chevalier
43,royaume
