,0
0,début_
1,fin_
2,milieu_
3,chronologie_
4,antiquité_
5,histoire_
6,généalogie_
7,Romain_
8,Rome_
9,vacances_
10,fin_.1
11,infini_
12,non_connu_
13,espace_
14,homme_de_Cro-Magnon
15,Néanderthal
16,caverne_
17,écriture_
18,pierre_
19,silex_
20,dinosaure_
21,âge_de_glace__
22,tyrannosaure_
23,âge_de_glace_dessin_animé_
24,commencement_
25,poursuite_
26,continuum_
27,curriculum_
28,espoir_
29,inquiétude_
30,connu_
31,non_connu_.1
32,professeur_
33,matière_
34,marque_
35,intérêt_
36,frise_chronologique__
37,date_d'apprentissage
38,date_quinze-cent-quinze
39,Napoléon_
40,Louis_XIV
41,image_
42,livre_
43,difficulté_
44,écriture_.1
45,se_lancer
