,0
0,école
1,danse
2,afshin_ghaffarian
3,amina
4,bouger
5,boîte_de_nuit
6,contrôle
7,école
8,joie
9,bonheur
10,vacances
11,italie
12,noémie
13,mythique
14,amour
15,kévin
16,kissclub
17,turin
18,réfléchir
19,penser
20,histoire
21,intelligence
22,désir
23,envie
24,partir
25,jouer
26,acheter
27,shopping
28,robe
29,nutella
30,charismatique
31,beauté
32,maquillage
33,stylo
34,écrire
35,écouter
36,s'assoir
37,chaise
38,bureau
39,cigarette
40,manger
41,dormir
42,se_reposer
43,se_relaxer
44,se_détendre
45,télévision
46,les_reines_du_shopping
47,écouter
48,distraire
49,rayonner
50,soleil
51,médicament
52,piercing
53,tatouage
54,étoile
55,lit
56,couette
57,coussin
58,couverture
59,chaleur
60,douceur
61,tendresse
62,mot
63,sympathie
64,solidarité
65,aider
