,0
0,courage
1,force
2,bonheur
3,film
4,trois-cent
5,spartiate
6,dessinateur
7,alan_moore
8,effets_spéciaux
9,étalonnage
10,ralenti
11,violence
12,gore
13,combat
14,tactique
15,militaire
16,épée
17,sabre
18,lance
19,plage
20,dune
21,bataille
22,tortue
23,tactique
24,métro
25,station
26,escalator
27,toboggan
28,glissade
29,tourniquet
30,ticket
31,amende
32,fraude
33,chute
34,escalier
35,guichet
36,fermé
37,ouvert
38,transaction
39,transmission
40,écoutille
41,annonce
42,mouvoir
43,speaker
44,speakerine
45,microphone
46,tendance
47,affiche
48,publicité
49,pollution
50,sonore
51,visuel
52,arc-en-ciel
53,place
